"","year","round","home","away","score_h","score_a","tries_h","tries_a","points_h","points_a","venue"
"199","2013","2","SCO","ITA","34","10","4","1","2","0","Murrayfield, Edinburgh"
"200","2013","2","FRA","WAL","6","16","0","1","0","2","Stade de France, Paris"
"201","2013","2","IRE","ENG","6","12","0","0","0","2","Lansdowne Rd, Dublin"
"202","2013","3","ITA","WAL","9","26","0","2","0","2","Olympic Stadium, Rome"
"203","2013","3","ENG","FRA","23","13","1","1","2","0","Twickenham, London"
"204","2013","3","SCO","IRE","12","8","0","1","2","0","Murrayfield, Edinburgh"
"205","2013","4","SCO","WAL","18","28","0","1","0","2","Murrayfield, Edinburgh"
"206","2013","4","IRE","FRA","13","13","1","1","1","1","Lansdowne Rd, Dublin"
"207","2013","4","ENG","ITA","18","11","0","1","2","0","Twickenham, London"
"208","2013","5","WAL","ENG","30","3","2","0","2","0","Millennium Stadium, Cardiff"
"209","2013","5","ITA","IRE","22","15","1","0","2","0","Olympic Stadium, Rome"
"210","2013","5","FRA","SCO","23","16","2","1","2","0","Stade de France, Paris"
"211","2014","1","WAL","ITA","23","15","2","2","2","0","Millennium Stadium, Cardiff"
"212","2014","1","FRA","ENG","26","24","3","2","2","0","Stade de France, Paris"
"213","2014","1","IRE","SCO","28","6","3","0","2","0","Lansdowne Rd, Dublin"
"214","2014","2","IRE","WAL","26","3","2","0","2","0","Lansdowne Rd, Dublin"
"215","2014","2","SCO","ENG","0","20","0","2","0","2","Murrayfield, Edinburgh"
"216","2014","2","FRA","ITA","30","10","3","1","2","0","Stade de France, Paris"
"217","2014","3","WAL","FRA","27","6","2","0","2","0","Millennium Stadium, Cardiff"
"218","2014","3","ITA","SCO","20","21","2","2","0","2","Olympic Stadium, Rome"
"219","2014","3","ENG","IRE","13","10","1","1","2","0","Twickenham, London"
"220","2014","4","IRE","ITA","46","7","7","1","2","0","Lansdowne Rd, Dublin"
"221","2014","4","SCO","FRA","17","19","2","1","0","2","Murrayfield, Edinburgh"
"222","2014","4","ENG","WAL","29","18","2","0","2","0","Twickenham, London"
"223","2014","5","ITA","ENG","11","52","1","7","0","2","Olympic Stadium, Rome"
"224","2014","5","WAL","SCO","51","3","7","0","2","0","Millennium Stadium, Cardiff"
"225","2014","5","FRA","IRE","20","22","2","3","0","2","Stade de France, Paris"
"226","2015","1","WAL","ENG","16","21","1","2","0","2","Millennium Stadium, Cardiff"
"227","2015","1","ITA","IRE","3","26","0","2","0","2","Olympic Stadium, Rome"
"228","2015","1","FRA","SCO","15","8","0","1","2","0","Stade de France, Paris"
"229","2015","2","ENG","ITA","47","17","6","3","2","0","Twickenham, London"
"230","2015","2","IRE","FRA","18","11","0","1","2","0","Lansdowne Rd, Dublin"
"231","2015","2","SCO","WAL","23","26","2","2","0","2","Murrayfield, Edinburgh"
"232","2015","3","SCO","ITA","19","22","1","3","0","2","Murrayfield, Edinburgh"
"233","2015","3","FRA","WAL","13","20","1","1","0","2","Stade de France, Paris"
"234","2015","3","IRE","ENG","19","9","1","0","2","0","Lansdowne Rd, Dublin"
"235","2015","4","WAL","IRE","23","16","1","1","2","0","Millennium Stadium, Cardiff"
"236","2015","4","ENG","SCO","25","13","3","1","2","0","Twickenham, London"
"237","2015","4","ITA","FRA","0","29","0","2","0","2","Olympic Stadium, Rome"
"238","2015","5","ITA","WAL","20","61","2","8","0","2","Olympic Stadium, Rome"
"239","2015","5","SCO","IRE","10","40","1","4","0","2","Murrayfield, Edinburgh"
"240","2015","5","ENG","FRA","55","35","7","5","2","0","Twickenham, London"
"241","2016","1","FRA","ITA","23","21","3","2","2","0","Stade de France, Paris"
"242","2016","1","SCO","ENG","9","15","0","2","0","2","Murrayfield, Edinburgh"
"243","2016","1","IRE","WAL","16","16","1","1","1","1","Lansdowne Rd, Dublin"
"244","2016","2","FRA","IRE","10","9","1","0","2","0","Stade de France, Paris"
"245","2016","2","WAL","SCO","27","23","3","2","2","0","Millennium Stadium, Cardiff"
"246","2016","2","ITA","ENG","9","40","0","5","0","2","Olympic Stadium, Rome"
"247","2016","3","WAL","FRA","19","10","1","1","2","0","Millennium Stadium, Cardiff"
"248","2016","3","ITA","SCO","20","36","2","3","0","2","Olympic Stadium, Rome"
"249","2016","3","ENG","IRE","21","10","2","1","2","0","Twickenham, London"
"250","2016","4","IRE","ITA","58","15","9","2","2","0","Lansdowne Rd, Dublin"
"251","2016","4","ENG","WAL","25","21","1","3","2","0","Twickenham, London"
"252","2016","4","SCO","FRA","29","18","3","2","2","0","Murrayfield, Edinburgh"
"253","2016","5","WAL","ITA","67","14","9","2","2","0","Millennium Stadium, Cardiff"
"254","2016","5","IRE","SCO","35","25","4","3","2","0","Lansdowne Rd, Dublin"
"255","2016","5","FRA","ENG","21","31","0","3","0","2","Stade de France, Paris"
"256","2017","1","SCO","IRE","27","22","3","3","4","1","Murrayfield, Edinburgh"
"257","2017","1","ENG","FRA","19","16","1","1","4","1","Twickenham, London"
"258","2017","1","ITA","WAL","7","33","1","3","0","4","Olympic Stadium, Rome"
"259","2017","2","ITA","IRE","10","63","1","9","0","5","Olympic Stadium, Rome"
"260","2017","2","WAL","ENG","16","21","1","2","1","4","Millennium Stadium, Cardiff"
"261","2017","2","FRA","SCO","22","16","1","2","4","1","Stade de France, Paris"
"262","2017","3","SCO","WAL","29","13","2","1","4","0","Murrayfield, Edinburgh"
"263","2017","3","IRE","FRA","19","9","1","0","4","0","Lansdowne Rd, Dublin"
"264","2017","3","ENG","ITA","36","15","5","2","5","0","Twickenham, London"
"265","2017","4","WAL","IRE","22","9","3","0","4","0","Millennium Stadium, Cardiff"
"266","2017","4","ITA","FRA","18","40","2","4","0","5","Olympic Stadium, Rome"
"267","2017","4","ENG","SCO","61","21","7","3","5","0","Twickenham, London"
"268","2017","5","SCO","ITA","29","0","4","0","5","0","Murrayfield, Edinburgh"
"269","2017","5","FRA","WAL","20","18","2","0","4","1","Stade de France, Paris"
"270","2017","5","IRE","ENG","13","9","1","0","4","1","Lansdowne Rd, Dublin"
